timestamp,problem_size,instance_name,run_number,runs_per_instance,paradigm,solver,model,started_at,finished_at,elapsed_seconds,avg_ram_mb,max_ram_mb,cpu_percent,makespan,status,error
2026-05-12-10:58,j30,j3018_8,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-12T10:58:29,2026-05-12T10:58:29,0.641284,14.62,22.82,88.6,52,ok,
2026-05-12-10:58,j30,j3018_8,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-12T10:58:29,2026-05-12T10:58:30,0.619475,15.88,24.44,89.9,52,ok,
2026-05-12-10:58,j30,j3018_8,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-12T10:58:30,2026-05-12T10:58:31,0.653295,15.04,24.32,88.6,52,ok,
2026-05-12-10:58,j30,j3018_8,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-12T10:58:31,2026-05-12T10:58:31,0.547575,20.81,34.39,93.0,52,ok,
2026-05-12-10:58,j30,j3018_8,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-12T10:58:31,2026-05-12T10:58:31,0.110652,10.31,14.32,88.6,,error,"cannot load gurobi dll, specify --gurobi-dll"
2026-05-12-10:58,j30,j3045_3,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-12T10:58:31,2026-05-12T10:58:32,0.753482,18.27,35.12,92.7,92,ok,
2026-05-12-10:58,j30,j3045_3,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-12T10:58:32,2026-05-12T11:00:32,120.419729,66.97,70.21,98.5,99,ok,
2026-05-12-10:58,j30,j3045_3,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-12T11:00:32,2026-05-12T11:00:34,1.113558,26.94,40.59,94.4,92,ok,
2026-05-12-10:58,j30,j3045_3,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-12T11:00:34,2026-05-12T11:02:36,122.288051,454.64,509.31,98.3,,no_solution,
2026-05-12-10:58,j30,j3045_3,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-12T11:02:36,2026-05-12T11:02:36,0.097613,10.24,14.31,88.4,,error,"cannot load gurobi dll, specify --gurobi-dll"
2026-05-12-10:58,j30,j303_10,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-12T11:02:36,2026-05-12T11:02:37,0.643397,14.65,23.09,85.0,59,ok,
2026-05-12-10:58,j30,j303_10,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-12T11:02:37,2026-05-12T11:02:37,0.679367,14.99,23.66,88.1,59,ok,
2026-05-12-10:58,j30,j303_10,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-12T11:02:37,2026-05-12T11:02:38,0.663464,14.17,23.16,88.8,59,ok,
2026-05-12-10:58,j30,j303_10,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-12T11:02:38,2026-05-12T11:02:39,0.813902,25.88,52.26,95.6,59,ok,
2026-05-12-10:58,j30,j303_10,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-12T11:02:39,2026-05-12T11:02:39,0.096712,10.27,14.36,87.8,,error,"cannot load gurobi dll, specify --gurobi-dll"
