timestamp,problem_size,instance_name,run_number,runs_per_instance,paradigm,solver,model,started_at,finished_at,elapsed_seconds,avg_ram_mb,max_ram_mb,cpu_percent,makespan,status,error
2026-05-14-20:21:15,j30,j3045_6,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-14T20:21:18,2026-05-14T20:25:06,228.875414,213.85,248.93,99.5,129,ok,
2026-05-14-20:21:15,j30,j3045_6,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-14T20:25:06,2026-05-14T20:45:07,1200.559444,69.93,71.48,99.7,139,ok,
2026-05-14-20:21:15,j30,j3045_6,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-14T20:45:07,2026-05-14T21:05:07,1200.440422,77.06,93.48,99.6,,no_solution,
2026-05-14-20:21:15,j30,j3045_6,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-14T21:05:07,2026-05-14T21:25:10,1202.221590,752.54,822.23,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3045_6,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-14T21:25:10,2026-05-14T21:45:10,1200.470588,251.12,292.07,99.7,129,ok,
2026-05-14-20:21:15,j30,j3045_2,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-14T21:45:10,2026-05-14T21:45:52,41.922708,114.87,136.29,99.6,125,ok,
2026-05-14-20:21:15,j30,j3045_2,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-14T21:45:52,2026-05-14T22:05:52,1200.340910,74.03,76.84,99.7,125,ok,
2026-05-14-20:21:15,j30,j3045_2,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-14T22:05:52,2026-05-14T22:06:32,39.607519,47.34,54.42,99.5,125,ok,
2026-05-14-20:21:15,j30,j3045_2,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-14T22:06:32,2026-05-14T22:26:29,1197.321872,800.94,864.91,99.7,,no_solution,
2026-05-14-20:21:15,j30,j3045_2,1,1,ilp,gurobi,rcpsp_ilp.mzn,2026-05-14T22:26:29,2026-05-14T22:46:30,1200.573943,256.96,329.43,99.7,125,ok,
2026-05-14-20:21:15,j30,j3013_8,1,1,cp,chuffed,rcpsp_cp.mzn,2026-05-14T22:46:30,2026-05-14T23:06:30,1200.356696,184.14,267.80,99.6,106,ok,
2026-05-14-20:21:15,j30,j3013_8,1,1,cp,gecode,rcpsp_cp.mzn,2026-05-14T23:06:30,2026-05-14T23:26:31,1200.338963,72.69,77.22,99.7,117,ok,
2026-05-14-20:21:15,j30,j3013_8,1,1,cp,cp-sat,rcpsp_cp.mzn,2026-05-14T23:26:31,2026-05-14T23:46:31,1200.405461,65.98,78.92,99.6,,no_solution,
2026-05-14-20:21:15,j30,j3013_8,1,1,ilp,coin-bc,rcpsp_ilp.mzn,2026-05-14T23:46:31,2026-05-15T00:06:34,1202.905933,503.67,523.16,99.7,,no_solution,
